2017	7,515,284,153	1.11 %	82,620,878	58	4,110,778,369	55 %
2016	7,432,663,275	1.13 %	83,191,176	57	4,034,193,153	54 %
2015	7,349,472,099	1.15 %	83,686,153	57	3,957,285,013	54 %
2014	7,265,785,946	1.17 %	84,070,807	56	3,880,128,255	53 %
2013	7,181,715,139	1.19 %	84,214,686	55	3,802,824,481	53 %
2012	7,097,500,453	1.2 %	84,073,401	55	3,725,502,442	52 %
2011	7,013,427,052	1.21 %	83,702,009	54	3,648,252,270	52 %
2010	6,929,725,043	1.22 %	83,245,522	53	3,571,272,167	52 %
2009	6,846,479,521	1.22 %	82,746,642	53	3,494,944,744	51 %
2008	6,763,732,879	1.23 %	82,125,559	52	3,419,420,251	51 %
2007	6,681,607,320	1.23 %	81,387,073	51	3,344,752,515	50 %
2006	6,600,220,247	1.24 %	80,584,397	51	3,271,397,980	50 %
2005	6,519,635,850	1.24 %	79,793,442	50	3,199,013,076	49 %
2004	6,439,842,408	1.24 %	79,077,724	50	3,127,242,628	49 %
2003	6,360,764,684	1.25 %	78,462,917	49	3,056,838,839	48 %
2002	6,282,301,767	1.26 %	77,991,028	48	2,987,784,981	48 %
2001	6,204,310,739	1.27 %	77,688,618	48	2,919,962,139	47 %
2000	6,126,622,121	1.28 %	77,416,918	47	2,856,131,072	47 %
1999	6,049,205,203	1.29 %	77,322,378	47	2,796,899,752	46 %
1998	5,971,882,825	1.32 %	77,727,720	46	2,738,816,645	46 %
1997	5,894,155,105	1.35 %	78,762,800	45	2,681,474,069	45 %
1996	5,815,392,305	1.4 %	80,269,221	45	2,624,604,780	45 %
1995	5,735,123,084	1.45 %	81,807,191	44	2,568,062,984	45 %
1994	5,653,315,893	1.49 %	83,270,513	44	2,511,550,590	44 %
1993	5,570,045,380	1.55 %	84,930,104	43	2,455,122,105	44 %
1992	5,485,115,276	1.61 %	86,786,523	42	2,398,603,088	44 %
1991	5,398,328,753	1.67 %	88,661,054	42	2,342,005,025	43 %
1990	5,309,667,699	1.74 %	90,689,680	41	2,285,030,904	43 %
1989	5,218,978,019	1.8 %	92,345,325	40	2,228,072,592	43 %
1988	5,126,632,694	1.84 %	92,827,750	39	2,171,095,781	42 %
1987	5,033,804,944	1.86 %	91,748,826	39	2,113,397,101	42 %
1986	4,942,056,118	1.84 %	89,515,549	38	2,057,664,889	42 %
1985	4,852,540,569	1.82 %	86,883,007	37	2,003,049,795	41 %
1984	4,765,657,562	1.8 %	84,447,054	37	1,950,270,079	41 %
1983	4,681,210,508	1.79 %	82,207,134	36	1,899,031,963	41 %
1982	4,599,003,374	1.78 %	80,401,332	35	1,849,348,541	40 %
1981	4,518,602,042	1.78 %	78,969,577	35	1,799,434,641	40 %
1980	4,439,632,465	1.78 %	77,442,934	34	1,749,539,272	39 %
1979	4,362,189,531	1.77 %	75,907,084	34	1,701,580,342	39 %
1978	4,286,282,447	1.78 %	74,960,020	33	1,655,041,860	39 %
1977	4,211,322,427	1.81 %	74,780,357	32	1,612,295,726	38 %
1976	4,136,542,070	1.85 %	75,142,842	32	1,573,369,827	38 %
1975	4,061,399,228	1.9 %	75,665,453	31	1,534,721,238	38 %
1974	3,985,733,775	1.94 %	76,011,655	31	1,497,305,961	38 %
1973	3,909,722,120	1.99 %	76,127,226	30	1,458,374,024	37 %
1972	3,833,594,894	2.02 %	75,860,226	30	1,420,942,101	37 %
1971	3,757,734,668	2.04 %	75,246,977	29	1,385,012,179	37 %
1970	3,682,487,691	2.07 %	74,622,178	28	1,350,280,789	37 %
1969	3,607,865,513	2.09 %	73,898,612	28	1,315,767,607	36 %
1968	3,533,966,901	2.1 %	72,623,729	27	1,281,733,884	36 %
1967	3,461,343,172	2.08 %	70,657,649	27	1,248,237,530	36 %
1966	3,390,685,523	2.05 %	68,190,402	26	1,215,547,996	36 %
1965	3,322,495,121	2.01 %	65,506,620	26	1,183,910,279	36 %
1964	3,256,988,501	1.97 %	62,913,154	25	1,153,189,281	35 %
1963	3,194,075,347	1.93 %	60,520,985	25	1,118,019,327	35 %
1962	3,133,554,362	1.9 %	58,481,189	24	1,083,929,179	35 %
1961	3,075,073,173	1.88 %	56,729,345	24	1,051,050,417	34 %
1960	3,018,343,828	1.86 %	55,127,775	23	1,019,494,911	34 %
1959	2,963,216,053	1.84 %	53,564,657	23	988,354,428	33 %
1958	2,909,651,396	1.82 %	51,988,486	22	957,944,323	33 %
1957	2,857,662,910	1.8 %	50,416,762	22	928,399,446	32 %
1956	2,807,246,148	1.77 %	48,931,623	22	899,872,076	32 %
1955	2,758,314,525	1.76 %	47,636,752	21	872,133,969	32 %
1954	2,710,677,773	1.75 %	46,648,763	21	845,285,369	31 %
1953	2,664,029,010	1.76 %	46,088,611	21	819,422,184	31 %
1952	2,617,940,399	1.79 %	46,072,884	20	794,486,369	30 %
1951	2,571,867,515	1.85 %	46,718,203	20	770,386,513	30 %
1927	2,000,000,000	 	 	 	 	 
1900	1,600,000,000	 	 	 	 	 
1850	1,200,000,000	 	 	 	 	 
1804	1,000,000,000	 	 	 	 	 
1760	770,000,000	 	 	 	 	 
1700	610,000,000	 	 	 	 	 
1600	500,000,000	 	 	 	 	 
1500	450,000,000	 	 	 	 	 
1400	350,000,000	 	 	 	 	 
1200	360,000,000	 	 	 	 	 
1100	320,000,000	 	 	 	 	 
1000	275,000,000	 	 	 	 	 
900	240,000,000	 	 	 	 	 
800	220,000,000	 	 	 	 	 
700	210,000,000	 	 	 	 	 
600	200,000,000	 	 	 	 	 
200	190,000,000	 	 	 	 	 
-200	150,000,000	 	 	 	 	 
-500	100,000,000	 	 	 	 	 
-1000	50,000,000	 	 	 	 	 
-2000	27,000,000	 	 	 	 	 
-3000	14,000,000	 	 	 	 	 
-4000	7,000,000	 	 	 	 	 
-5000	5,000,000	 	 	 	 	 
